original_file	pop	indiv_count	sample_value	replicate_number	min_allele_freq	est_type	est_ne	95ci_low	95ci_high	overall_rsquared	expected_rsquared	indep_comparisons	harmon_mean_samp_size
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r1.genepop	100	531	1.0	0	0.01	ld	188.0	186.1	190.0	0.00365	0.00189	325540	531.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	1	530	1.0	0	0.01	ld	Inf	45133.5	Inf	0.0019	0.0019	378107	530.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	2	526	1.0	0	0.01	ld	1966.4	1862.3	2081.9	0.00208	0.00191	375513	526.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	3	526	1.0	0	0.01	ld	1003.5	973.6	1035.1	0.00224	0.00191	376378	526.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	4	505	1.0	0	0.01	ld	685.9	670.3	702.2	0.00248	0.00199	374652	505.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	5	499	1.0	0	0.01	ld	590.0	578.0	602.4	0.00258	0.00202	377241	499.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	6	503	1.0	0	0.01	ld	472.5	464.3	480.9	0.0027	0.002	370356	503.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	7	507	1.0	0	0.01	ld	423.4	416.7	430.3	0.00277	0.00198	375514	507.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	8	512	1.0	0	0.01	ld	394.8	388.9	400.9	0.00281	0.00197	374650	512.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	9	508	1.0	0	0.01	ld	356.5	351.5	361.6	0.00291	0.00198	374652	508.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	10	502	1.0	0	0.01	ld	334.9	330.3	339.5	0.00299	0.002	372930	502.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	11	485	1.0	0	0.01	ld	320.1	315.7	324.5	0.00311	0.00208	372931	485.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	12	485	1.0	0	0.01	ld	300.9	297.0	305.0	0.00318	0.00208	371213	485.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	13	481	1.0	0	0.01	ld	278.1	274.6	281.7	0.00328	0.00209	370357	481.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	14	485	1.0	0	0.01	ld	266.9	263.6	270.2	0.00331	0.00208	369500	485.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	15	482	1.0	0	0.01	ld	258.7	255.5	261.8	0.00337	0.00209	369501	482.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	16	495	1.0	0	0.01	ld	248.8	245.9	251.7	0.00336	0.00203	370357	495.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	17	492	1.0	0	0.01	ld	237.8	235.1	240.6	0.00344	0.00205	367789	492.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	18	491	1.0	0	0.01	ld	235.8	233.1	238.5	0.00345	0.00205	369500	491.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	19	499	1.0	0	0.01	ld	230.3	227.8	232.9	0.00345	0.00202	372072	499.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	20	489	1.0	0	0.01	ld	226.5	224.0	229.0	0.00352	0.00206	368644	489.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	21	477	1.0	0	0.01	ld	226.0	223.5	228.6	0.00357	0.00211	366937	477.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	22	476	1.0	0	0.01	ld	224.2	221.7	226.8	0.00359	0.00211	367791	476.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	23	481	1.0	0	0.01	ld	214.5	212.2	216.8	0.00363	0.00209	372072	481.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	24	474	1.0	0	0.01	ld	208.7	206.5	211.0	0.00371	0.00212	366936	474.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	25	483	1.0	0	0.01	ld	205.3	203.1	207.5	0.00369	0.00208	366938	483.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	26	496	1.0	0	0.01	ld	205.4	203.2	207.5	0.00364	0.00203	366938	496.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	27	507	1.0	0	0.01	ld	206.0	203.8	208.1	0.00359	0.00198	361838	507.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	28	528	1.0	0	0.01	ld	201.0	199.0	203.0	0.00355	0.00191	365234	528.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	29	518	1.0	0	0.01	ld	203.5	201.4	205.6	0.00356	0.00194	362686	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	30	511	1.0	0	0.01	ld	200.3	198.2	202.3	0.00362	0.00197	363533	511.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	31	509	1.0	0	0.01	ld	198.3	196.3	200.3	0.00364	0.00198	366084	509.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	32	514	1.0	0	0.01	ld	199.4	197.4	201.4	0.00361	0.00196	363532	514.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	33	503	1.0	0	0.01	ld	202.9	200.9	205.1	0.00363	0.002	364381	503.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	34	503	1.0	0	0.01	ld	205.5	203.4	207.7	0.00361	0.002	362684	503.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	35	512	1.0	0	0.01	ld	202.2	200.1	204.3	0.0036	0.00197	358457	512.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	36	497	1.0	0	0.01	ld	199.0	197.0	201.1	0.00368	0.00202	362683	497.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	37	497	1.0	0	0.01	ld	200.4	198.3	202.4	0.00367	0.00202	363531	497.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	38	505	1.0	0	0.01	ld	200.8	198.7	202.9	0.00364	0.00199	360991	505.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	39	515	1.0	0	0.01	ld	199.1	197.1	201.1	0.00361	0.00195	362683	515.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	40	506	1.0	0	0.01	ld	197.9	195.9	199.9	0.00366	0.00199	360990	506.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	41	513	1.0	0	0.01	ld	198.1	196.1	200.1	0.00363	0.00196	360145	513.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	42	505	1.0	0	0.01	ld	198.6	196.6	200.7	0.00365	0.00199	360146	505.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	43	511	1.0	0	0.01	ld	201.3	199.2	203.4	0.00361	0.00197	359299	511.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	44	510	1.0	0	0.01	ld	202.5	200.4	204.6	0.0036	0.00197	359298	510.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	45	518	1.0	0	0.01	ld	198.4	196.4	200.4	0.0036	0.00194	360144	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	46	512	1.0	0	0.01	ld	193.1	191.1	195.0	0.00367	0.00197	363532	512.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	47	508	1.0	0	0.01	ld	192.4	190.5	194.4	0.00369	0.00198	361836	508.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	48	515	1.0	0	0.01	ld	193.1	191.2	195.1	0.00366	0.00195	360144	515.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	49	510	1.0	0	0.01	ld	193.7	191.8	195.7	0.00368	0.00197	359301	510.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	50	509	1.0	0	0.01	ld	193.5	191.6	195.5	0.00368	0.00198	360991	509.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	51	508	1.0	0	0.01	ld	191.9	190.0	193.8	0.0037	0.00198	362685	508.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	52	505	1.0	0	0.01	ld	185.2	183.4	187.0	0.00377	0.00199	361837	505.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	53	508	1.0	0	0.01	ld	188.6	186.7	190.5	0.00373	0.00198	360146	508.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	54	513	1.0	0	0.01	ld	188.0	186.1	189.9	0.00372	0.00196	358459	513.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	55	518	1.0	0	0.01	ld	186.5	184.7	188.4	0.00371	0.00194	356777	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	56	518	1.0	0	0.01	ld	185.0	183.2	186.8	0.00372	0.00194	359303	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	57	520	1.0	0	0.01	ld	182.0	180.3	183.8	0.00375	0.00193	355934	520.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	58	518	1.0	0	0.01	ld	182.8	181.1	184.6	0.00374	0.00194	355096	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	59	528	1.0	0	0.01	ld	183.4	181.6	185.2	0.0037	0.00191	352581	528.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	60	523	1.0	0	0.01	ld	184.5	182.7	186.3	0.00371	0.00192	352583	523.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	61	516	1.0	0	0.01	ld	182.2	180.5	184.0	0.00376	0.00195	354254	516.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	62	522	1.0	0	0.01	ld	180.9	179.2	182.7	0.00375	0.00193	351743	522.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	63	524	1.0	0	0.01	ld	182.3	180.5	184.1	0.00373	0.00192	351744	524.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	64	518	1.0	0	0.01	ld	181.6	179.9	183.4	0.00376	0.00194	350908	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	65	517	1.0	0	0.01	ld	178.3	176.5	180.0	0.00379	0.00195	348409	517.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	66	519	1.0	0	0.01	ld	179.9	178.1	181.6	0.00377	0.00194	348409	519.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	67	532	1.0	0	0.01	ld	176.4	174.8	178.1	0.00376	0.00189	347579	532.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	68	520	1.0	0	0.01	ld	180.3	178.6	182.1	0.00376	0.00193	350072	520.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	69	530	1.0	0	0.01	ld	183.0	181.2	184.8	0.0037	0.0019	348409	530.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	70	525	1.0	0	0.01	ld	186.9	185.1	188.8	0.00368	0.00192	347580	525.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	71	535	1.0	0	0.01	ld	191.4	189.5	193.3	0.0036	0.00188	348408	535.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	72	540	1.0	0	0.01	ld	194.0	192.1	195.9	0.00356	0.00186	347582	540.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	73	539	1.0	0	0.01	ld	194.2	192.3	196.1	0.00356	0.00187	345920	539.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	74	543	1.0	0	0.01	ld	190.5	188.7	192.4	0.00358	0.00185	344266	543.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	75	541	1.0	0	0.01	ld	191.3	189.4	193.3	0.00358	0.00186	342616	541.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	76	528	1.0	0	0.01	ld	190.1	188.2	192.0	0.00364	0.00191	343439	528.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	77	531	1.0	0	0.01	ld	196.2	194.2	198.2	0.00358	0.00189	342614	531.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	78	525	1.0	0	0.01	ld	198.7	196.6	200.8	0.00358	0.00192	340970	525.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	79	518	1.0	0	0.01	ld	203.2	201.1	205.3	0.00357	0.00194	340970	518.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	80	519	1.0	0	0.01	ld	205.4	203.2	207.5	0.00355	0.00194	340970	519.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	81	517	1.0	0	0.01	ld	204.4	202.2	206.5	0.00356	0.00195	341792	517.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	82	513	1.0	0	0.01	ld	202.9	200.7	205.0	0.00359	0.00196	339327	513.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	83	504	1.0	0	0.01	ld	207.8	205.6	210.1	0.00358	0.002	339327	504.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	84	493	1.0	0	0.01	ld	204.5	202.3	206.7	0.00366	0.00204	340972	493.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	85	493	1.0	0	0.01	ld	204.6	202.4	206.8	0.00365	0.00204	340970	493.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	86	503	1.0	0	0.01	ld	200.9	198.7	203.0	0.00364	0.002	340150	503.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	87	502	1.0	0	0.01	ld	198.7	196.6	200.8	0.00366	0.002	338509	502.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	88	507	1.0	0	0.01	ld	199.5	197.4	201.6	0.00364	0.00198	338507	507.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	89	510	1.0	0	0.01	ld	203.8	201.6	206.0	0.00359	0.00197	340971	510.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	90	505	1.0	0	0.01	ld	202.7	200.6	204.9	0.00362	0.00199	340970	505.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	91	500	1.0	0	0.01	ld	198.0	195.9	200.1	0.00368	0.00201	341793	500.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	92	502	1.0	0	0.01	ld	188.6	186.6	190.5	0.00375	0.002	336871	502.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	93	489	1.0	0	0.01	ld	191.3	189.3	193.4	0.00378	0.00206	337690	489.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	94	485	1.0	0	0.01	ld	190.6	188.6	192.6	0.00381	0.00208	339328	485.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	95	486	1.0	0	0.01	ld	191.8	189.7	193.8	0.00379	0.00207	336872	486.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	96	498	1.0	0	0.01	ld	192.7	190.7	194.8	0.00373	0.00202	337692	498.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	97	502	1.0	0	0.01	ld	194.1	192.1	196.2	0.0037	0.002	333613	502.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	98	502	1.0	0	0.01	ld	189.7	187.8	191.7	0.00374	0.002	336877	502.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	99	497	1.0	0	0.01	ld	182.9	181.0	184.7	0.00383	0.00202	336059	497.0
/home/ted/temp/negui_git_test/negui/sim.20160825204651.r2.genepop	100	503	1.0	0	0.01	ld	181.6	179.8	183.5	0.00381	0.002	331989	503.0
